OrganicExpressoSierra,95,Popular,wholebean,light,chocolate,10.58
PeaceCoffee,54,NewRelease,ground,medium,earthy,20.00
CoffeeBros,74,,rounds,dark,nutty,14.99
CaribouCoffee,67,NewRelease,readytodrink,dark,smokey,23.45
LavazzaSuperCrema,22,,flavored,medium,chocolate,22.99
Peet'sCoffee,86,Popular,ground,light,earthy,12.98
IllyClassico,47,,rounds,medium,nutty,68.40
KickingHorseCofffee,75,NewRelease,readytodrink,flavored,smokey,29.99
CostaRicanTarrazu,44,,ground,dark,nutty,25.99
KauaiCoffee,99,Popular,wholebean,dark,chocolate,24.21
FogChaser,74,,rounds,light,earthy,18.99
MayorgaCoffee,48,,readytodrink,dark,nutty,18.13
Donpablo,75,NewRelease,ground,medium,smokey,34.99
